domain	rank	taxon	total_genomes	species_clusters	hq_reps	n_class_hq	n_order_hq	n_family_hq	n_genus_hq	n_species_hq
Bacteria	class	Gracilibacteria	1206	897	608	0	19	41	310	608
Bacteria	class	Gemmatimonadetes	3129	2001	1004	0	4	10	255	1004
Bacteria	class	Spirochaetia	4119	1536	764	0	33	56	206	764
Bacteria	class	Thermoleophilia	4299	3637	1332	0	6	13	201	1332
Bacteria	class	Polyangia	1413	1017	551	0	10	36	200	551
Bacteria	class	Chlamydiia	1289	560	349	0	1	41	189	349
Bacteria	class	Coriobacteriia	7271	2095	1366	0	3	34	187	1366
Bacteria	class	Vicinamibacteria	1144	885	505	0	3	23	182	505
Bacteria	class	Desulfobacteria	1331	812	434	0	1	68	153	434
Bacteria	class	Thermoanaerobaculia	962	727	451	0	6	22	150	451
Bacteria	class	Vampirovibrionia	2433	881	586	0	7	18	137	586
Bacteria	class	Thermodesulfovibrionia	647	390	264	0	4	22	137	264
Bacteria	class	Rhodothermia	1097	570	375	0	3	30	136	375
Bacteria	class	Kiritimatiellia	1192	704	315	0	20	53	124	315
Bacteria	class	Campylobacteria	14392	1516	1070	0	1	24	120	1070
Bacteria	class	Babeliae	315	261	189	0	1	19	112	189
Bacteria	class	Negativicutes	4825	738	459	0	19	29	108	459
Bacteria	class	Binatia	739	500	285	0	8	19	108	285
Bacteria	class	MSB-5A5	351	285	198	0	10	19	107	198
Bacteria	class	Blastocatellia	1126	909	567	0	6	9	97	567
Bacteria	class	Bdellovibrionia	516	390	279	0	2	14	97	279
Bacteria	class	UBA1384	220	162	116	0	22	36	97	116
Bacteria	class	Desulfovibrionia	2463	621	413	0	1	7	89	413
Bacteria	class	Sulfobacillia	500	210	147	0	28	45	86	147
Bacteria	class	Desulfuromonadia	727	472	318	0	2	27	86	318
Bacteria	class	Chloroflexia	657	435	235	0	7	15	85	235
Bacteria	class	Aminicenantia	507	339	166	0	6	14	74	166
Bacteria	class	Myxococcia	591	368	249	0	2	10	74	249
Bacteria	class	Dojkabacteria	331	221	135	0	11	21	74	135
Bacteria	class	Nitrospiria	1025	583	372	0	8	17	73	372
